id,name,type,cuisine,meta_code_com,meta_code_dep,meta_geo_point_lat,meta_geo_point_lon,created_at,vegan,vegetarian,note
2085,Capri,restaurant,,75101,75,48.8674930742974,2.33237205644147,2024-12-12 09:09:26,0,0,
2086,Le Marly,restaurant,,75101,75,48.8663235473476,2.32456129615019,2024-12-12 09:09:26,0,0,
2087,L'étoile de Rivoli,restaurant,chinese,75101,75,48.8612842633407,2.34014643927296,2024-12-12 09:09:26,0,0,
2088,Indiana Café,restaurant,tex-mex,75101,75,48.8614892846923,2.34470728424677,2024-12-12 09:09:26,0,0,
2089,Le Cochon à l'Oreille,restaurant,french,75101,75,48.8644515330928,2.3451743238916,2024-12-12 09:09:26,0,0,
2090,Fresh Noodles & Wok,restaurant,noodle,75101,75,48.8595804738826,2.34783742216788,2024-12-12 09:09:26,0,0,
2091,Le Zinc de Clovis,restaurant,seafood,75101,75,48.861456679089,2.34425809805569,2024-12-12 09:09:26,0,0,
2092,Caffe dei Fratelli,restaurant,"italian, pizza, pasta",75101,75,48.8648199177373,2.33306398254842,2024-12-12 09:09:26,0,0,
2093,Villalys,restaurant,french,75101,75,48.8654444533428,2.33732986834957,2024-12-12 09:09:26,0,0,
2094,Feu,restaurant,,75101,75,48.8610648251156,2.34261725669046,2024-12-12 09:09:26,0,0,
2095,Ryo,restaurant,"japanese, sushi",75101,75,48.866984795689,2.33506147389372,2024-12-12 09:09:27,0,0,
2096,Udon Jubey,restaurant,,75101,75,48.8664589989029,2.33550957043738,2024-12-12 09:09:27,0,0,
2097,Bistrot Pyramide,restaurant,,75101,75,48.865822728633,2.33383947623005,2024-12-12 09:09:27,0,0,
2098,Victoria,restaurant,,75101,75,48.8635916336463,2.34651869734159,2024-12-12 09:09:27,0,0,
2099,L'Esplanade Saint-Eustache,restaurant,,75101,75,48.8634031246439,2.34647988912991,2024-12-12 09:09:27,0,0,
2100,Les secrets du Maghreb,restaurant,,75101,75,48.8640440887796,2.34688825545251,2024-12-12 09:09:27,0,1,
2101,Le Relais du Louvre,restaurant,,75101,75,48.86159162773,2.34095286217729,2024-12-12 09:09:27,0,0,
2102,El Vecino,restaurant,mexican,75101,75,48.8640621936904,2.33398096275562,2024-12-12 09:09:27,0,0,
2103,Cibus,restaurant,italian,75101,75,48.86485344535,2.33551635977895,2024-12-12 09:09:27,0,0,
2104,La famille heureuse,restaurant,chinese,75101,75,48.8617503809761,2.34399314609638,2024-12-12 09:09:27,0,0,
2105,Dong Né Chicken,restaurant,korean,75101,75,48.8664933647059,2.33718025137793,2024-12-12 09:09:27,0,0,
2106,Zango Les Halles,restaurant,,75101,75,48.8633231612876,2.3484967426715,2024-12-12 09:09:27,0,0,
2107,Molly,restaurant,asian,75101,75,48.8611437826435,2.3423997463031,2024-12-12 09:09:27,0,0,
2108,Chez Denise,restaurant,french,75101,75,48.8615238181334,2.34408903506869,2024-12-12 09:09:27,0,0,
2109,Mei Ko,restaurant,japanese,75101,75,48.8640379699902,2.34153557208592,2024-12-12 09:09:27,0,0,
2110,Café du théâtre,restaurant,,75101,75,48.8660856689355,2.33765173343144,2024-12-12 09:09:27,0,0,
2111,Café Qj,restaurant,,75101,75,48.8599373753197,2.34108948719901,2024-12-12 09:09:27,0,0,
2112,Au Père Tranquille,restaurant,,75101,75,48.8621979746056,2.34854879429022,2024-12-12 09:09:27,0,0,
2113,La Perla,restaurant,"italian, pizza",75101,75,48.8634416813985,2.34625349392519,2024-12-12 09:09:27,0,0,
2114,La Rose de France,restaurant,,75101,75,48.8568715265959,2.342132698868,2024-12-12 09:09:27,0,0,
2115,Au Petit Bar,restaurant,french,75101,75,48.8654470517328,2.32909959380447,2024-12-12 09:09:27,0,0,
