restaurant_name,address,phone_number,reviews_count,reviews_average,type,cuisine,meta_code_com,meta_code_dep,meta_geo_point_lat,meta_geo_point_lon,vegan,vegetarian
la rose de france,"24 Pl. Dauphine, 75001 Paris",01 43 54 10 12,733,3.6,restaurant,,75101,75,48.8568715265959,2.342132698868,0,0
au petit bar,"7 Rue du Mont Thabor, 75001 Paris",01 42 60 62 09,285,4.7,restaurant,french,75101,75,48.8654470517328,2.32909959380447,0,0
kong,"1 Rue du Pont Neuf, 75001 Paris",01 40 39 09 00,5520,3.8,restaurant,,75101,75,48.8592430184608,2.34309854557068,0,0
campelli,"36 Rue Croix des Petits Champs, 75001 Paris",09 53 84 21 19,365,4.9,restaurant,,75101,75,48.8642602580624,2.34032857802893,0,0
la cantine des tsars,"21 Rue du Roule, 75001 Paris",09 82 44 48 48,871,4.3,restaurant,russian,75101,75,48.8610180540959,2.34380069759953,0,1
nodaiwa,"272 Rue Saint-Honoré, 75001 Paris",01 42 86 03 42,1136,4.6,restaurant,japanese,75101,75,48.8643878306287,2.33324729477084,0,0
miami boulevard,"19 Bd de Sébastopol, 75001 Paris",07 49 85 70 23,4503,4.4,restaurant,bistro,75101,75,48.8594798910445,2.34847888921774,0,0
café courtial,"2 Rue Sauval, 75001 Paris",09 55 57 83 96,150,5.0,restaurant,,75101,75,48.8616403265875,2.34243997943832,0,0
nino fresco,"16 Rue Montmartre, 75001 Paris",01 81 80 61 82,227,4.6,restaurant,italian,75101,75,48.8638993333118,2.34573633049939,0,0
bò bún bòm,"16 Rue d'Argenteuil, 75001 Paris",,62,3.9,restaurant,vietnamese,75101,75,48.8656073975405,2.3338406496965,0,0
liberta,"32 Rue du Pont Neuf, 75001 Paris",01 44 82 93 07,1871,4.3,restaurant,italian,75101,75,48.8612649849634,2.34512537357705,0,0
chez zaza,"62 Rue St Denis, 75001 Paris",09 74 64 09 02,578,4.2,restaurant,,75101,75,48.8614576849173,2.34919579339618,0,0
bellusci,"10 Rue du Marché Saint-Honoré, 75001 Paris",01 42 96 31 71,194,3.9,restaurant,italian,75101,75,48.8662806320034,2.33142867323929,0,0
